report_id,technique_id,created,last_update
1143,attack-pattern--f6fe9070-7a65-49ea-ae72-76292f42cebe,2019-07-12 16:54:32.875156+00,2019-07-12 16:54:32.875156+00
1143,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,2019-07-12 16:54:32.883473+00,2019-07-12 16:54:32.883473+00
1143,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,2019-07-12 16:54:32.891879+00,2019-07-12 16:54:32.891879+00
1146,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,2019-07-12 16:58:04.640832+00,2019-07-12 16:58:04.640832+00
1146,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,2019-07-12 16:58:04.710178+00,2019-07-12 16:58:04.710178+00
1146,attack-pattern--241814ae-de3f-4656-b49e-f9a80764d4b7,2019-07-12 16:58:04.720306+00,2019-07-12 16:58:04.720306+00
1146,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,2019-07-12 16:58:04.728586+00,2019-07-12 16:58:04.728586+00
1146,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,2019-07-12 16:58:04.736939+00,2019-07-12 16:58:04.736939+00
1146,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,2019-07-12 16:58:04.745377+00,2019-07-12 16:58:04.745377+00
1146,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,2019-07-12 16:58:04.753579+00,2019-07-12 16:58:04.753579+00
1146,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,2019-07-12 16:58:04.761908+00,2019-07-12 16:58:04.761908+00
1146,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,2019-07-12 16:58:04.770223+00,2019-07-12 16:58:04.770223+00
1146,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 16:58:04.778652+00,2019-07-12 16:58:04.778652+00
1146,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,2019-07-12 16:58:04.786978+00,2019-07-12 16:58:04.786978+00
1146,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,2019-07-12 16:58:04.79533+00,2019-07-12 16:58:04.79533+00
1146,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2019-07-12 16:58:04.803644+00,2019-07-12 16:58:04.803644+00
1146,attack-pattern--6ff403bc-93e3-48be-8687-e102fdba8c88,2019-07-12 16:58:04.811991+00,2019-07-12 16:58:04.811991+00
1146,attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,2019-07-12 16:58:04.820398+00,2019-07-12 16:58:04.820398+00
1146,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,2019-07-12 16:58:04.82872+00,2019-07-12 16:58:04.82872+00
1146,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,2019-07-12 16:58:04.837068+00,2019-07-12 16:58:04.837068+00
1146,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,2019-07-12 16:58:04.8454+00,2019-07-12 16:58:04.8454+00
1146,attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09,2019-07-12 16:58:04.853758+00,2019-07-12 16:58:04.853758+00
1146,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,2019-07-12 16:58:04.862039+00,2019-07-12 16:58:04.862039+00
1146,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,2019-07-12 16:58:04.870366+00,2019-07-12 16:58:04.870366+00
1146,attack-pattern--1c338d0f-a65e-4073-a5c1-c06878849f21,2019-07-12 16:58:04.87869+00,2019-07-12 16:58:04.87869+00
1146,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,2019-07-12 16:58:04.887042+00,2019-07-12 16:58:04.887042+00
1146,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,2019-07-12 16:58:04.895354+00,2019-07-12 16:58:04.895354+00
