keyword,is_alias,apt_name,created,last_update
bronzebutler,t,bronzebutler,2019-03-20 15:32:54.623133+01,2019-03-20 15:32:54.623133+01
bronze butler,t,bronzebutler,2019-03-20 15:32:54.623133+01,2019-03-20 15:32:54.623133+01
redbaldknight,t,bronzebutler,2019-03-20 15:32:54.627307+01,2019-03-20 15:32:54.627307+01
tick,t,bronzebutler,2019-03-20 15:32:54.627307+01,2019-03-20 15:32:54.627307+01
cobaltgroup,t,cobaltgroup,2019-03-20 15:33:08.666573+01,2019-03-20 15:33:08.666573+01
cobalt group,t,cobaltgroup,2019-03-20 15:33:08.666573+01,2019-03-20 15:33:08.666573+01
cobalt gang,t,cobaltgroup,2019-03-20 15:33:08.671915+01,2019-03-20 15:33:08.671915+01
cobaltgang,t,cobaltgroup,2019-03-20 15:33:08.671915+01,2019-03-20 15:33:08.671915+01
cobalt spider,t,cobaltgroup,2019-03-20 15:33:08.671915+01,2019-03-20 15:33:08.671915+01
cobaltspider,t,cobaltgroup,2019-03-20 15:33:08.671915+01,2019-03-20 15:33:08.671915+01
fin8,t,fin8,2019-03-20 15:33:25.588472+01,2019-03-20 15:33:25.588472+01
ta459,t,ta459,2019-03-20 15:33:35.195605+01,2019-03-20 15:33:35.195605+01
threatgroup1314,t,threatgroup1314,2019-03-20 15:33:46.760217+01,2019-03-20 15:33:46.760217+01
threat group-1314,t,threatgroup1314,2019-03-20 15:33:46.760217+01,2019-03-20 15:33:46.760217+01
tg-1314,t,threatgroup1314,2019-03-20 15:33:46.764148+01,2019-03-20 15:33:46.764148+01
tg1314,t,threatgroup1314,2019-03-20 15:33:46.764148+01,2019-03-20 15:33:46.764148+01
darkhydrus,t,darkhydrus,2019-03-20 15:33:57.694597+01,2019-03-20 15:33:57.694597+01
dragonfly,t,dragonfly,2019-03-20 15:34:07.565251+01,2019-03-20 15:34:07.565251+01
energetic bear,t,dragonfly,2019-03-20 15:34:07.571699+01,2019-03-20 15:34:07.571699+01
energeticbear,t,dragonfly,2019-03-20 15:34:07.571699+01,2019-03-20 15:34:07.571699+01
elderwood,t,elderwood,2019-03-20 15:34:20.703613+01,2019-03-20 15:34:20.703613+01
elderwood gang,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
elderwoodgang,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
beijing group,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
beijinggroup,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
sneaky panda,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
sneakypanda,t,elderwood,2019-03-20 15:34:20.708199+01,2019-03-20 15:34:20.708199+01
apt29,t,apt29,2019-03-20 15:34:40.596239+01,2019-03-20 15:34:40.596239+01
the dukes,t,apt29,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
thedukes,t,apt29,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
cozy bear,t,apt29,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
cozybear,t,apt29,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
cozyduke,t,apt29,2019-03-20 15:34:40.600457+01,2019-03-20 15:34:40.600457+01
axiom,t,axiom,2019-03-20 15:34:51.94497+01,2019-03-20 15:34:51.94497+01
group 72,t,axiom,2019-03-20 15:34:51.997432+01,2019-03-20 15:34:51.997432+01
group72,t,axiom,2019-03-20 15:34:51.997432+01,2019-03-20 15:34:51.997432+01
apt28,t,apt28,2019-03-20 15:35:04.081697+01,2019-03-20 15:35:04.081697+01
sednit,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
sofacy,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
pawn storm,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
pawnstorm,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
fancy bear,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
fancybear,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
strontium,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
tsar team,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
tsarteam,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
threat group-4127,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
threatgroup4127,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
tg-4127,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
tg4127,t,apt28,2019-03-20 15:35:04.299404+01,2019-03-20 15:35:04.299404+01
promethium,t,promethium,2019-03-20 15:35:33.682468+01,2019-03-20 15:35:33.682468+01
apt17,t,apt17,2019-03-20 15:35:46.36946+01,2019-03-20 15:35:46.36946+01
deputy dog,t,apt17,2019-03-20 15:35:46.37258+01,2019-03-20 15:35:46.37258+01
deputydog,t,apt17,2019-03-20 15:35:46.37258+01,2019-03-20 15:35:46.37258+01
menupass,t,menupass,2019-03-20 15:35:55.628811+01,2019-03-20 15:35:55.628811+01
stone panda,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
stonepanda,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
apt10,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
red apollo,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
redapollo,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
cvnx,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
hogfish,t,menupass,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
rancor,t,rancor,2019-03-20 15:36:18.160522+01,2019-03-20 15:36:18.160522+01
apt32,t,apt32,2019-03-20 15:36:29.768615+01,2019-03-20 15:36:29.768615+01
oceanlotus group,t,apt32,2019-03-20 15:36:29.771694+01,2019-03-20 15:36:29.771694+01
oceanlotusgroup,t,apt32,2019-03-20 15:36:29.771694+01,2019-03-20 15:36:29.771694+01
apt-c-00,t,apt32,2019-03-20 15:36:29.771694+01,2019-03-20 15:36:29.771694+01
aptc00,t,apt32,2019-03-20 15:36:29.771694+01,2019-03-20 15:36:29.771694+01
admin338,t,admin338,2019-03-20 15:36:42.495722+01,2019-03-20 15:36:42.495722+01
admin@338,t,admin338,2019-03-20 15:36:42.495722+01,2019-03-20 15:36:42.495722+01
charmingkitten,t,charmingkitten,2019-03-20 15:36:50.057549+01,2019-03-20 15:36:50.057549+01
charming kitten,t,charmingkitten,2019-03-20 15:36:50.057549+01,2019-03-20 15:36:50.057549+01
apt18,t,apt18,2019-03-20 15:37:00.376948+01,2019-03-20 15:37:00.376948+01
tg-0416,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
tg0416,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
dynamite panda,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
dynamitepanda,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
threat group-0416,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
threatgroup0416,t,apt18,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
turla,t,turla,2019-03-20 15:37:12.782279+01,2019-03-20 15:37:12.782279+01
waterbug,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
whitebear,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
venomous bear,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
venomousbear,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
snake,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
krypton,t,turla,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
gorgongroup,t,gorgongroup,2019-03-20 15:37:36.108041+01,2019-03-20 15:37:36.108041+01
gorgon group,t,gorgongroup,2019-03-20 15:37:36.108041+01,2019-03-20 15:37:36.108041+01
apt16,t,apt16,2019-03-20 15:37:45.574128+01,2019-03-20 15:37:45.574128+01
apt37,t,apt37,2019-03-20 15:37:53.255726+01,2019-03-20 15:37:53.255726+01
scarcruft,t,apt37,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
reaper,t,apt37,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
group123,t,apt37,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
temp.reaper,t,apt37,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
tempreaper,t,apt37,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
putterpanda,t,putterpanda,2019-03-20 15:38:03.471854+01,2019-03-20 15:38:03.471854+01
putter panda,t,putterpanda,2019-03-20 15:38:03.471854+01,2019-03-20 15:38:03.471854+01
apt2,t,putterpanda,2019-03-20 15:38:03.476007+01,2019-03-20 15:38:03.476007+01
msupdater,t,putterpanda,2019-03-20 15:38:03.476007+01,2019-03-20 15:38:03.476007+01
fin6,t,fin6,2019-03-20 15:38:23.29439+01,2019-03-20 15:38:23.29439+01
gcman,t,gcman,2019-03-20 15:38:31.333543+01,2019-03-20 15:38:31.333543+01
scarletmimic,t,scarletmimic,2019-03-20 15:38:38.89309+01,2019-03-20 15:38:38.89309+01
scarlet mimic,t,scarletmimic,2019-03-20 15:38:38.89309+01,2019-03-20 15:38:38.89309+01
carbanak,t,carbanak,2019-03-20 15:38:50.540005+01,2019-03-20 15:38:50.540005+01
anunak,t,carbanak,2019-03-20 15:38:50.543651+01,2019-03-20 15:38:50.543651+01
carbon spider,t,carbanak,2019-03-20 15:38:50.543651+01,2019-03-20 15:38:50.543651+01
